"DateTime","open","high","low","close"
2021-10-29 23:22:00,NaN,NaN,NaN,NaN
2021-10-29 23:23:00,NaN,NaN,NaN,NaN
2021-10-29 23:24:00,372.46,372.46,372.46,372.46
2021-10-29 23:25:00,NaN,NaN,NaN,NaN
2021-10-29 23:26:00,NaN,NaN,NaN,NaN
2021-10-29 23:27:00,NaN,NaN,NaN,NaN
2021-10-29 23:28:00,372.28,372.28,372.28,372.28
2021-10-29 23:29:00,NaN,NaN,NaN,NaN
2021-10-29 23:30:00,NaN,NaN,NaN,NaN
2021-10-29 23:31:00,NaN,NaN,NaN,NaN
2021-10-29 23:32:00,NaN,NaN,NaN,NaN
2021-10-29 23:33:00,372.2,372.2,372.2,372.2
2021-10-29 23:34:00,NaN,NaN,NaN,NaN
2021-10-29 23:35:00,NaN,NaN,NaN,NaN
2021-10-29 23:36:00,NaN,NaN,NaN,NaN
2021-10-29 23:37:00,NaN,NaN,NaN,NaN
2021-10-29 23:38:00,NaN,NaN,NaN,NaN
2021-10-29 23:39:00,372.26,372.26,372.26,372.26
2021-10-29 23:40:00,372.3,372.3,372.2,372.2
2021-10-29 23:41:00,NaN,NaN,NaN,NaN
2021-10-29 23:42:00,372.32,372.32,372.32,372.32
2021-10-29 23:43:00,NaN,NaN,NaN,NaN
2021-10-29 23:44:00,372.24,372.24,372.24,372.24
2021-10-29 23:45:00,NaN,NaN,NaN,NaN
2021-10-29 23:46:00,NaN,NaN,NaN,NaN
2021-10-29 23:47:00,372.18,372.18,372.18,372.18
2021-10-29 23:48:00,NaN,NaN,NaN,NaN
2021-10-29 23:49:00,NaN,NaN,NaN,NaN
2021-10-29 23:50:00,NaN,NaN,NaN,NaN
2021-10-29 23:51:00,NaN,NaN,NaN,NaN
2021-10-29 23:52:00,NaN,NaN,NaN,NaN
2021-10-29 23:53:00,NaN,NaN,NaN,NaN
2021-10-29 23:54:00,NaN,NaN,NaN,NaN
2021-10-29 23:55:00,NaN,NaN,NaN,NaN
2021-10-29 23:56:00,NaN,NaN,NaN,NaN
2021-10-29 23:57:00,NaN,NaN,NaN,NaN
2021-10-29 23:58:00,NaN,NaN,NaN,NaN
2021-10-29 23:59:00,372.32,372.32,372.32,372.32
2021-10-30 00:00:00,NaN,NaN,NaN,NaN
2021-10-30 00:01:00,372.48,372.48,372.48,372.48
2021-10-30 00:02:00,NaN,NaN,NaN,NaN
2021-10-30 00:03:00,372.48,372.48,372.48,372.48
2021-10-30 00:04:00,372.52,372.68,372.52,372.68
2021-10-30 00:05:00,372.6,372.7,372.6,372.7
2021-10-30 00:06:00,372.64,372.66,372.6,372.6
2021-10-30 00:07:00,NaN,NaN,NaN,NaN
2021-10-30 00:08:00,372.42,372.42,372.42,372.42
2021-10-30 00:09:00,372.48,372.48,372.48,372.48
2021-10-30 00:10:00,372.38,372.44,372.38,372.4
2021-10-30 00:11:00,372.44,372.52,372.42,372.42
2021-10-30 00:12:00,372.54,372.54,372.44,372.46
2021-10-30 00:13:00,NaN,NaN,NaN,NaN
2021-10-30 00:14:00,NaN,NaN,NaN,NaN
2021-10-30 00:15:00,372.5,372.5,372.5,372.5
2021-10-30 00:16:00,NaN,NaN,NaN,NaN
2021-10-30 00:17:00,NaN,NaN,NaN,NaN
2021-10-30 00:18:00,NaN,NaN,NaN,NaN
2021-10-30 00:19:00,NaN,NaN,NaN,NaN
2021-10-30 00:20:00,372.48,372.48,372.48,372.48
2021-10-30 00:21:00,NaN,NaN,NaN,NaN
2021-10-30 00:22:00,NaN,NaN,NaN,NaN
2021-10-30 00:23:00,NaN,NaN,NaN,NaN
2021-10-30 00:24:00,NaN,NaN,NaN,NaN
2021-10-30 00:25:00,NaN,NaN,NaN,NaN
2021-10-30 00:26:00,NaN,NaN,NaN,NaN
2021-10-30 00:27:00,372.54,372.54,372.54,372.54
2021-10-30 00:28:00,NaN,NaN,NaN,NaN
2021-10-30 00:29:00,NaN,NaN,NaN,NaN
2021-10-30 00:30:00,372.62,372.62,372.62,372.62
2021-10-30 00:31:00,372.68,372.68,372.68,372.68
2021-10-30 00:32:00,NaN,NaN,NaN,NaN
2021-10-30 00:33:00,NaN,NaN,NaN,NaN
2021-10-30 00:34:00,NaN,NaN,NaN,NaN
2021-10-30 00:35:00,NaN,NaN,NaN,NaN
2021-10-30 00:36:00,372.52,372.52,372.52,372.52
2021-10-30 00:37:00,NaN,NaN,NaN,NaN
2021-10-30 00:38:00,NaN,NaN,NaN,NaN
2021-10-30 00:39:00,NaN,NaN,NaN,NaN
2021-10-30 00:40:00,NaN,NaN,NaN,NaN
2021-10-30 00:41:00,NaN,NaN,NaN,NaN
2021-10-30 00:42:00,NaN,NaN,NaN,NaN
2021-10-30 00:43:00,NaN,NaN,NaN,NaN
2021-10-30 00:44:00,NaN,NaN,NaN,NaN
2021-10-30 00:45:00,372.56,372.56,372.54,372.54
2021-10-30 00:46:00,NaN,NaN,NaN,NaN
2021-10-30 00:47:00,NaN,NaN,NaN,NaN
2021-10-30 00:48:00,NaN,NaN,NaN,NaN
2021-10-30 00:49:00,NaN,NaN,NaN,NaN
2021-10-30 00:50:00,NaN,NaN,NaN,NaN
2021-10-30 00:51:00,372.54,372.54,372.54,372.54
2021-10-30 00:52:00,NaN,NaN,NaN,NaN
2021-10-30 00:53:00,NaN,NaN,NaN,NaN
2021-10-30 00:54:00,372.48,372.48,372.48,372.48
2021-10-30 00:55:00,NaN,NaN,NaN,NaN
2021-10-30 00:56:00,NaN,NaN,NaN,NaN
2021-10-30 00:57:00,NaN,NaN,NaN,NaN
2021-10-30 00:58:00,372.6,372.66,372.6,372.62
2021-10-30 00:59:00,NaN,NaN,NaN,NaN
2021-10-30 01:00:00,NaN,NaN,NaN,NaN
2021-10-30 01:01:00,NaN,NaN,NaN,NaN
2021-10-30 01:02:00,372.58,372.58,372.58,372.58
2021-10-30 01:03:00,NaN,NaN,NaN,NaN
2021-10-30 01:04:00,NaN,NaN,NaN,NaN
2021-10-30 01:05:00,NaN,NaN,NaN,NaN
2021-10-30 01:06:00,372.7,372.7,372.7,372.7
2021-10-30 01:07:00,372.66,372.74,372.66,372.68
2021-10-30 01:08:00,372.78,372.78,372.72,372.72
2021-10-30 01:09:00,372.7,372.8,372.7,372.8
2021-10-30 01:10:00,NaN,NaN,NaN,NaN
2021-10-30 01:11:00,372.86,372.86,372.86,372.86
2021-10-30 01:12:00,372.9,372.9,372.9,372.9
2021-10-30 01:13:00,NaN,NaN,NaN,NaN
2021-10-30 01:14:00,373.02,373.02,373.02,373.02
2021-10-30 01:15:00,NaN,NaN,NaN,NaN
2021-10-30 01:16:00,372.92,372.92,372.92,372.92
2021-10-30 01:17:00,372.9,372.9,372.9,372.9
2021-10-30 01:18:00,NaN,NaN,NaN,NaN
2021-10-30 01:19:00,373.1,373.1,373.1,373.1
2021-10-30 01:20:00,373.2,373.2,373.2,373.2
2021-10-30 01:21:00,NaN,NaN,NaN,NaN
